Activities by nicksouthorn
 
 Favorite,ActivityName,ActivityType,Course,Start,Time,Distance,ElevationGain,AvgSpeed,MaxSpeed,AvgHR,MaxHR,Calories,TotalStrokes,AvgStrokes,MinStrokes,AvgSWOLF,BestSWOLF,TrainingEffect,
 false,Brixworth Cycling,Mountain Biking,Full Reservoir Loop,"Tue, Nov 3, 2015 12:59 PM",40:33,10.56,216,15.6,32.3,--,--,790,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,--,"Fri, Oct 30, 2015 12:57 PM",38:40,8.43,337,13.1,33.5,--,--,634,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,Full Reservoir Loop,"Thu, Oct 29, 2015 1:06 PM",47:40,10.60,291,13.3,27.0,--,--,737,--,--,--,--,--,--,
 false,Rothley Cycling,Road Cycling,--,"Thu, Oct 22, 2015 11:28 AM",31:20,9.17,229,17.6,30.1,--,--,785,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,--,"Mon, Oct 19, 2015 12:57 PM",45:35,10.38,213,13.7,26.1,--,--,734,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,--,"Wed, Sep 23, 2015 12:52 PM",33:14,7.84,222,14.2,34.1,--,--,663,--,--,--,--,--,--,
 false,Brixworth Cycling,Cycling,Full Reservoir Loop,"Fri, Aug 28, 2015 1:01 PM",41:02,10.59,220,15.5,29.4,--,--,809,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,Full Reservoir Loop,"Mon, Aug 24, 2015 1:00 PM",41:52,10.60,222,15.2,28.3,--,--,811,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,Full Reservoir Loop,"Fri, Aug 21, 2015 1:04 PM",40:33,10.54,244,15.6,30.2,--,--,776,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,Full Reservoir Loop,"Mon, Aug 17, 2015 1:00 PM",40:44,10.59,272,15.6,30.8,--,--,799,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,Full Reservoir Loop,"Fri, Aug 14, 2015 12:57 PM",43:51,10.59,231,14.5,28.0,--,--,786,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,--,"Thu, Aug 13, 2015 1:06 PM",31:36,8.72,336,16.5,34.2,--,--,751,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,--,"Wed, Aug 12, 2015 1:06 PM",31:48,7.86,232,14.8,31.9,--,--,598,--,--,--,--,--,--,
 false,Brixworth Cycling,Mountain Biking,Full Reservoir Loop,"Tue, Aug 11, 2015 1:03 PM",42:28,10.59,247,15.0,31.3,--,--,764,--,--,--,--,--,--,
 false,Brixworth Cycling,Road Cycling,--,"Mon, Aug 10, 2015 12:58 PM",35:19,8.39,310,14.3,35.8,--,--,660,--,--,--,--,--,--,
 false,Syston Cycling,Road Cycling,--,"Sun, Aug 9, 2015 5:41 PM",17:38,4.27,93,14.5,30.0,--,--,314,--,--,--,--,--,--,
 false,Rothley Cycling,Road Cycling,--,"Sun, Aug 9, 2015 12:07 PM",48:39,12.72,235,15.7,33.6,--,--,936,--,--,--,--,--,--,
 false,Brixworth Cycling,Road Cycling,--,"Wed, Aug 5, 2015 1:15 PM",33:11,9.47,266,17.1,37.5,--,--,773,--,--,--,--,--,--,
 false,Brixworth Cycling,Road Cycling,--,"Tue, Aug 4, 2015 1:05 PM",30:05,7.59,379,15.1,38.3,--,--,645,--,--,--,--,--,--,
 false,Rothley Cycling,Road Cycling,--,"Sat, Jun 27, 2015 5:14 PM",25:51,7.41,70,17.2,24.5,--,--,623,--,--,--,--,--,--,
 
